Código de Ubigeo,DISTRITOS,SIN EDUCACIÓN FORMAL,EDUCACIÓN ESPECIAL INCOMPLETA,EDUCACIÓN ESPECIAL COMPLETA,EDUCACIÓN PRIMARIA INCOMPLETA,EDUCACIÓN PRIMARIA COMPLETA,EDUCACIÓN SECUNDARIA INCOMPLETA,EDUCACIÓN SECUNDARIA COMPLETA,EDUCACIÓN TÉCNICA INCOMPLETA,EDUCACIÓN TÉCNICA COMPLETA,"EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR, ETC) INCOMPLETA","EDUCACIÓN SUPERIOR (INSTITUTO SUPERIOR, ETC) COMPLETA",EDUCACIÓN UNIVERSITARIA INCOMPLETA,EDUCACIÓN UNIVERSITARIA COMPLETA,GRADO DE BACHILLER,TITULADO,ESTUDIOS DE MAESTRÍA INCOMPLETA,ESTUDIOS DE MAESTRÍA COMPLETA,GRADO DE MAESTRÍA,ESTUDIOS DE DOCTORADO INCOMPLETO,ESTUDIOS DE DOCTORADO COMPLETO,GRADO DE DOCTOR,NO DETERMINADO
050801,PAUSA, - , - , - , - , 1 008 , 925 , 3 870 , 2 618 , 5 076 , 1 992 , 1 464 , - , 2 614 , 3 040 , 1 200 , - , - , - , - , - , - , 1 023 
050802,COLTA, - , - , - , - , - , - , 1 860 , 889 , 920 , - , - , - , - , - , - , - , - , - , - , - , - , - 
050804,LAMPA, - , - , - , - , - , - , 930 , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - 
050805,MARCABAMBA, - , - , - , - , - , - , 1 305 , - , - , - , - , - , 3 500 , - , - , - , - , - , - , - , - , - 
050806,OYOLO, - , - , - , 3 596 , 10 081 , 3 872 , 9 338 , 10 704 , 11 908 , 4 162 , 4 920 , 7 450 , 23 194 , 10 250 , 20 366 , 19 264 , 12 384 , - , - , - , - , 3 923 
050810,SARA SARA, - , - , - , - , 1 893 , - , 2 229 , 1 183 , 6 299 , - , - , - , 5 301 , - , - , - , - , - , - , - , - , - 
050901,QUEROBAMBA, - , - , - , - , 1 764 , 1 038 , 3 492 , - , 5 125 , 10 771 , 2 919 , 2 450 , 11 351 , 988 , 1 023 , - , - , - , - , - , - , 1 593 
050904,CHILCAYOC, - , - , - , - , 1 955 , 1 978 , 2 178 , 1 473 , 1 500 , - , - , - , - , - , - , - , - , - , - , - , - , - 
051001,HUANCAPI, - , - , - , - , 2 094 , 2 162 , 5 477 , - , 1 738 , - , 4 000 , - , 2 430 , 930 , 4 500 , - , - , - , - , - , - , - 
051003,APONGO, - , - , - , - , - , - , 1 407 , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - 
051005,CANARIA, 2 153 , - , 3 218 , 3 038 , 3 068 , 3 217 , 7 197 , 2 416 , 7 642 , 6 032 , 7 995 , 4 223 , 14 815 , 15 761 , 17 340 , 21 352 , 20 299 , 115 381 , - , - , - , 4 655 
051007,COLCA, - , - , - , - , - , - , - , 930 , - , - , - , 4 352 , - , 930 , - , - , - , - , - , - , - , - 
051009,HUANCARAYLLA, - , - , - , - , - , - , - , - , - , 950 , - , - , - , - , - , - , - , - , - , - , - , - 
051010,HUAYA, - , - , - , - , 1 288 , 2 640 , 1 215 , - , 945 , - , - , 1 000 , 2 667 , - , - , - , - , - , - , - , - , - 
051012,VILCANCHOS, - , - , - , - , - , - , - , - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - 
051101,VILCAS HUAMAN, - , - , - , - , 930 , 1 023 , 2 252 , - , - , - , 2 046 , 1 015 , 1 023 , - , - , - , - , - , - , - , - , - 
051102,ACCOMARCA, - , - , - , - , - , - , 3 751 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060101,CAJAMARCA, 4 557 , 2 829 , 5 573 , 4 140 , 4 086 , 4 272 , 4 445 , 4 432 , 4 846 , 4 612 , 5 310 , 4 910 , 8 047 , 8 676 , 10 092 , 13 247 , 16 923 , 11 195 , 7 577 , 3 797 , 13 122 , 4 825 
060102,ASUNCION, - , - , - , - , - , - , - , - , - , - , - , - , - , - , 465 , - , - , - , - , - , - , - 
060103,CHETILLA, - , - , - , 930 , 930 , - , 930 , 930 , 930 , - , - , - , - , - , 4 000 , 2 500 , - , - , - , - , - , - 
060104,COSPAN, - , - , - , - , 963 , - , 2 339 , - , 1 070 , - , - , - , - , - , 1 300 , - , - , - , - , - , - , - 
060105,ENCAÑADA, 5 620 , 1 684 , 1 821 , 7 670 , 6 385 , 9 405 , 10 313 , 11 057 , 28 613 , 8 083 , 12 574 , 11 191 , 30 312 , 31 141 , 25 351 , 26 919 , 32 470 , 51 210 , - , - , - , 4 343 
060106,JESUS, 930 , - , 2 612 , 2 534 , 3 588 , 3 789 , 4 035 , 2 645 , 4 668 , 2 413 , 1 427 , 3 655 , 7 590 , 4 561 , 5 400 , - , - , 1 583 , - , 3 896 , - , 1 242 
060107,LLACANORA, - , - , 930 , - , 1 856 , 1 408 , 2 858 , 2 126 , 6 430 , 3 482 , 3 759 , 7 006 , 7 627 , 9 548 , 10 454 , 4 006 , - , - , - , - , - , - 
060108,LOS BAÑOS DEL INCA, 3 682 , - , 3 048 , 3 986 , 4 542 , 4 919 , 4 883 , 4 478 , 5 660 , 4 712 , 6 652 , 7 134 , 10 971 , 8 642 , 11 051 , 10 873 , 14 705 , 7 750 , - , 1 256 , - , 1 971 
060109,MAGDALENA, - , - , - , - , 1 944 , - , 3 687 , - , 1 910 , - , - , 2 900 , 1 503 , 1 154 , 930 , - , - , - , - , - , - , 930 
060110,MATARA, - , - , - , - , - , - , 1 092 , 1 278 , 1 360 , - , - , - , - , 1 200 , - , - , - , - , - , - , - , - 
060111,NAMORA, - , - , - , - , 1 208 , 930 , 2 041 , - , 1 191 , - , - , - , 2 330 , 930 , 2 200 , - , - , - , - , - , - , - 
060112,SAN JUAN, - , - , - , - , 1 023 , - , 2 370 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060201,CAJABAMBA, 4 533 , 2 278 , 3 731 , 2 166 , 4 320 , 4 524 , 4 634 , 3 860 , 4 984 , 6 990 , 6 605 , 4 849 , 7 000 , 7 982 , 7 999 , 2 603 , 4 698 , - , 1 867 , - , - , 1 837 
060202,CACHACHI, 3 441 , 1 494 , 5 242 , 5 463 , 6 731 , 6 161 , 7 241 , 6 144 , 9 441 , 8 873 , 8 688 , 5 024 , 18 066 , 16 043 , 19 651 , 18 497 , 22 503 , 8 710 , - , - , - , 8 467 
060203,CONDEBAMBA, - , - , - , - , - , - , 1 053 , 1 500 , 2 074 , - , - , - , 1 165 , - , - , - , - , - , - , - , - , - 
060204,SITACOCHA, - , - , - , - , - , - , 930 , 916 , - , - , - , - , - , - , 1 991 , - , - , - , - , - , - , - 
060301,CELENDIN, - , - , 444 , 473 , 564 , 3 165 , 3 191 , 3 874 , 3 799 , 4 141 , 7 372 , 5 810 , 7 541 , 8 617 , 6 883 , - , 950 , - , - , - , - , 1 344 
060304,HUASMIN, - , - , - , - , - , - , 930 , - , 930 , - , - , - , - , - , 930 , - , - , - , - , - , - , - 
060306,JOSE GALVEZ, - , - , - , - , - , - , 1 604 , - , 2 046 , - , - , - , 1 023 , - , 1 898 , - , - , - , - , - , - , - 
060308,OXAMARCA, - , - , - , - , - , - , 1 705 , - , 1 200 , - , - , - , - , - , 4 000 , - , - , - , - , - , - , - 
060309,SOROCHUCO, 1 680 , - , - , 1 701 , 1 615 , 1 744 , 3 307 , - , 930 , - , - , - , - , 1 674 , - , - , - , - , - , - , - , - 
060310,SUCRE, - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060401,CHOTA, 2 024 , 3 017 , 3 451 , 2 209 , 3 508 , 3 479 , 4 090 , 3 639 , 4 401 , 4 540 , 6 688 , 5 434 , 6 824 , 7 186 , 7 211 , 3 570 , 3 342 , 6 003 , - , - , 1 000 , 3 475 
060402,ANGUIA, - , - , - , - , - , - , - , - , 1 298 , - , - , - , 1 763 , - , - , - , - , - , - , - , - , - 
060404,CHIGUIRIP, - , - , - , - , - , - , 1 561 , - , 1 263 , - , - , - , 3 477 , - , 1 718 , - , - , - , - , - , - , - 
060405,CHIMBAN, - , - , - , - , - , 930 , 930 , 1 860 , 2 738 , - , - , - , - , - , - , - , - , - , - , - , - , - 
060407,COCHABAMBA, - , - , - , - , - , - , 1 532 , - , 930 , - , - , - , - , - , 930 , - , - , - , - , - , - , - 
060408,CONCHAN, - , - , - , - , - , - , - , - , 1 263 , - , - , - , 1 763 , - , - , - , - , - , - , - , - , - 
060409,HUAMBOS, - , - , - , - , 1 023 , - , 1 001 , 1 593 , 2 267 , - , - , 767 , 3 950 , 2 552 , 3 089 , - , - , - , - , - , - , - 
060410,LAJAS, 930 , - , - , 1 260 , 2 245 , 1 031 , 3 348 , - , 2 402 , 1 862 , - , - , 4 456 , 3 593 , 7 215 , - , - , - , - , - , - , - 
060411,LLAMA, 930 , - , - , - , 1 023 , - , 1 883 , 1 335 , 1 023 , - , 4 928 , - , 930 , - , 5 847 , - , - , - , - , - , - , - 
060412,MIRACOSTA, - , - , - , - , - , - , - , - , - , - , - , 2 431 , - , - , - , - , - , - , - , - , - , - 
060413,PACCHA, - , - , - , - , - , - , 1 446 , 1 263 , 1 263 , - , - , 1 763 , 3 387 , - , 1 803 , - , - , - , - , - , - , - 
060415,QUEROCOTO, - , 930 , - , 1 718 , 4 335 , 1 794 , 6 058 , 2 695 , 5 063 , 994 , 1 023 , 1 662 , 5 502 , 5 595 , 13 081 , - , - , 6 700 , - , - , - , - 
060417,TACABAMBA, - , - , - , - , - , 980 , 2 177 , 930 , - , - , 4 388 , 1 763 , 4 064 , 1 500 , 6 457 , - , - , - , - , - , - , - 
060419,CHALAMARCA, - , - , - , - , - , - , 1 123 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060501,CONTUMAZA, - , - , - , 350 , 889 , - , 3 809 , - , 1 658 , 930 , - , 930 , 930 , 1 733 , - , - , - , - , - , - , - , - 
060502,CHILETE, - , - , - , - , - , 1 149 , 3 880 , 2 187 , 2 362 , 2 249 , 6 557 , - , 5 740 , 5 996 , 5 955 , - , - , - , - , - , - , - 
060503,CUPISNIQUE, - , - , - , - , 1 003 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060504,GUZMANGO, - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060507,TANTARICA, - , 930 , - , 930 , 1 860 , 930 , 1 953 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060508,YONAN, - , - , - , 1 686 , 3 154 , 1 591 , 4 958 , 2 119 , 4 326 , 1 095 , 1 643 , 6 039 , 8 087 , 2 608 , 2 602 , - , - , - , - , - , - , 615 
060601,CUTERVO, 1 909 , - , 2 048 , 1 880 , 2 368 , 2 581 , 4 000 , 5 318 , 5 150 , 7 406 , 5 708 , 4 817 , 8 102 , 8 944 , 7 783 , - , 6 240 , 3 850 , - , 1 500 , - , 1 839 
060602,CALLAYUC, - , - , - , - , - , - , 1 860 , - , 1 500 , - , - , - , - , - , - , - , - , - , - , - , - , - 
060603,CHOROS, - , - , - , - , - , 1 197 , 3 304 , - , - , - , 1 188 , - , 890 , - , 2 033 , - , - , - , - , - , - , - 
060606,PIMPINGOS, - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060607,QUEROCOTILLO, 3 537 , - , - , - , - , - , - , - , - , - , - , - , - , 2 308 , 2 835 , - , - , - , - , - , - , - 
060609,SAN JUAN DE CUTERVO, - , - , - , - , - , - , 1 937 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060613,SANTO TOMAS, 930 , - , - , 2 907 , 2 693 , 2 680 , 3 782 , 1 944 , 5 331 , 1 200 , 6 060 , 5 237 , 5 429 , - , 10 903 , - , - , - , - , - , - , - 
060614,SOCOTA, - , - , - , - , 1 310 , - , 2 987 , - , - , - , - , - , 2 000 , 2 000 , - , - , - , - , - , - , - , 930 
060701,BAMBAMARCA, 3 624 , 1 200 , - , 3 327 , 3 496 , 4 113 , 4 157 , 3 293 , 4 781 , 4 278 , 6 432 , 3 869 , 8 747 , 5 786 , 8 668 , - , - , - , - , - , - , 930 
060702,CHUGUR, - , - , - , - , 2 550 , 1 604 , 3 847 , 3 597 , 3 744 , - , - , - , 6 037 , - , 11 800 , - , - , - , - , - , - , - 
060703,HUALGAYOC, 5 202 , - , 4 771 , 3 950 , 5 781 , 7 077 , 7 471 , 5 958 , 10 603 , 7 782 , 11 268 , 11 852 , 19 083 , 30 552 , 29 384 , 17 660 , 18 571 , 58 449 , - , 23 460 , - , 11 960 
060801,JAEN, 3 083 , 2 829 , 4 340 , 4 508 , 3 604 , 3 401 , 3 950 , 3 897 , 4 365 , 4 170 , 5 799 , 4 709 , 6 258 , 7 400 , 8 138 , 10 803 , 6 600 , 11 496 , - , - , - , 3 421 
060802,BELLAVISTA, 910 , 1 156 , - , 3 185 , 3 467 , 3 177 , 3 929 , 2 541 , 5 934 , 4 856 , 2 657 , 3 626 , 4 056 , 5 272 , 6 968 , - , - , - , - , - , - , 2 042 
060803,CHONTALI, - , - , - , - , - , - , 1 556 , - , 4 000 , - , - , - , 4 417 , - , - , - , - , - , - , - , - , - 
060804,COLASAY, - , - , - , - , - , - , - , - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - 
060805,HUABAL, - , - , - , - , - , - , 2 808 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
060806,LAS PIRIAS, - , - , - , - , - , - , - , - , 1 381 , - , - , - , - , 2 047 , - , - , 4 193 , - , - , - , - , - 
060807,POMAHUACA, - , - , - , - , - , 1 234 , 1 596 , 3 039 , 5 688 , - , - , - , 6 500 , 2 047 , - , - , - , - , - , - , - , - 
060808,PUCARA, - , - , - , - , 3 080 , 4 089 , 4 848 , 2 795 , 5 681 , 5 169 , 930 , 5 554 , 6 529 , 11 553 , 7 428 , 3 500 , - , - , - , - , - , - 
060809,SALLIQUE, - , - , - , - , - , 1 375 , 6 514 , 2 141 , 4 265 , 2 231 , - , - , 2 500 , - , - , - , - , - , - , - , - , - 
060810,SAN FELIPE, - , - , - , 1 526 , 1 876 , 1 445 , 4 335 , 3 140 , 4 870 , 2 957 , 2 400 , 930 , 9 455 , 3 737 , 12 187 , - , - , - , - , - , - , - 
060811,SAN JOSE DEL ALTO, - , - , - , 3 000 , 3 000 , 3 000 , 5 706 , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - 
060812,SANTA ROSA, - , - , - , - , 930 , - , 3 703 , - , 4 139 , - , 1 000 , - , 1 983 , - , - , - , - , - , - , - , - , - 
060901,SAN IGNACIO, - , - , 1 128 , 1 390 , 3 072 , 2 133 , 3 291 , 3 401 , 4 568 , 4 026 , 7 144 , 4 139 , 5 930 , 6 681 , 7 546 , - , - , 7 538 , - , 930 , - , 1 957 
060902,CHIRINOS, 1 727 , - , 1 935 , 1 661 , 1 276 , 1 293 , 4 246 , 1 673 , 4 273 , 1 435 , 3 081 , 4 593 , 7 324 , 5 874 , 4 126 , - , - , - , - , - , - , - 
060903,HUARANGO, - , - , - , 2 766 , 1 419 , 5 062 , 3 867 , 1 000 , 3 800 , 1 570 , - , 1 648 , 713 , 4 406 , - , - , - , - , - , - , - , - 
060904,LA COIPA, - , - , - , - , - , 1 200 , 5 972 , 2 000 , 5 261 , 1 558 , 2 986 , 2 876 , 2 328 , 1 846 , 2 000 , - , - , - , - , - , - , - 
060905,NAMBALLE, - , - , - , - , 2 114 , 3 000 , 3 736 , 1 250 , 3 111 , - , 3 451 , 2 593 , - , 1 400 , - , - , - , - , - , - , - , - 
060906,SAN JOSE DE LOURDES, - , - , - , - , - , - , 3 383 , 1 406 , 4 010 , - , 2 708 , - , 4 184 , - , - , - , - , - , - , - , - , - 
060907,TABACONAS, - , - , - , - , - , 2 494 , 2 182 , 1 487 , 4 540 , - , - , - , 4 981 , 6 757 , 4 864 , - , - , - , - , - , - , - 
061001,PEDRO GALVEZ, 977 , - , - , 1 073 , 1 814 , 1 031 , 3 324 , 2 003 , 4 752 , 3 610 , 7 228 , 1 853 , 5 910 , 4 563 , 4 648 , - , - , - , - , - , - , - 
061002,CHANCAY, - , - , - , 930 , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - 
061003,EDUARDO VILLANUEVA, - , - , - , 1 871 , 2 899 , 1 892 , 3 197 , - , 977 , 1 023 , - , - , 1 023 , - , 3 000 , - , - , - , - , - , - , - 
061004,GREGORIO PITA, - , - , - , - , 1 473 , - , 2 993 , - , 1 200 , - , - , - , 1 991 , 2 751 , 2 003 , - , - , - , 3 093 , - , - , - 
061006,JOSE MANUEL QUIROZ, - , - , - , - , - , - , - , - , 2 600 , - , - , - , 930 , - , - , - , - , - , - , - , - , - 
061007,JOSE SABOGAL, - , - , - , 2 909 , 1 645 , 5 273 , 4 165 , 2 066 , 2 861 , - , 930 , - , - , - , 2 849 , - , - , - , - , - , - , - 
061101,SAN MIGUEL, 4 713 , - , 2 020 , - , 2 894 , 2 919 , 4 623 , 2 550 , 4 301 , 930 , 5 746 , 3 949 , 11 859 , 3 813 , 6 390 , 3 733 , - , - , - , - , - , - 
061102,BOLIVAR, - , - , - , 1 808 , 1 365 , 1 657 , 3 333 , - , 1 357 , 4 500 , - , - , 930 , - , 930 , - , - , - , - , - , - , - 
061103,CALQUIS, - , - , - , - , - , 2 100 , 3 869 , - , 3 400 , - , - , 1 200 , - , 1 800 , 2 800 , - , - , - , - , - , - , - 
061104,CATILLUC, - , - , - , - , 930 , - , 2 284 , 1 405 , 930 , - , - , - , - , - , 2 165 , - , - , - , - , - , - , - 
061105,EL PRADO, 2 291 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
061106,LA FLORIDA, - , - , - , - , - , - , 1 200 , - , - , - , - , - , 803 , - , - , - , - , - , - , - , - , - 
061107,LLAPA, - , - , - , - , - , - , 6 243 , - , 2 530 , - , 4 722 , - , 2 880 , 2 913 , 7 893 , - , - , - , - , - , - , - 
061108,NANCHOC, - , - , - , - , - , 1 286 , 1 848 , 2 250 , 1 177 , 1 269 , - , - , - , - , 930 , - , - , - , - , - , - , - 
061109,NIEPOS, - , - , - , - , - , - , 2 468 , - , 5 160 , - , - , 930 , - , - , 9 493 , - , - , - , - , - , - , - 
061110,SAN GREGORIO, - , - , - , - , 864 , - , 1 955 , - , 2 028 , - , - , - , 1 140 , 2 048 , 7 200 , - , - , - , - , - , - , - 
061112,TONGOD, - , - , - , - , 853 , - , 1 522 , - , 930 , - , 2 516 , 1 475 , 2 223 , 4 579 , - , - , - , - , - , - , - , - 
061201,SAN PABLO, - , - , - , 1 641 , 2 286 , 2 236 , 2 794 , - , 7 572 , 1 645 , 2 482 , 1 729 , 3 828 , 4 076 , - , - , 2 037 , - , - , - , - , 930 
061202,SAN BERNARDINO, - , - , - , - , 1 493 , 2 924 , 3 432 , 2 608 , 2 744 , - , 3 025 , 2 103 , 1 464 , - , - , - , - , - , - , - , - , - 
061301,SANTA CRUZ, - , - , - , 987 , 1 023 , - , 3 870 , 2 657 , 2 876 , 2 531 , 965 , 1 928 , 4 918 , 2 568 , 7 673 , - , - , 1 500 , - , - , - , 1 158 
061303,CATACHE, - , - , - , - , - , 1 032 , 1 876 , - , - , - , - , - , - , - , 5 143 , - , - , - , - , - , - , - 
061306,NINABAMBA, - , - , - , - , 4 478 , - , 1 909 , 3 273 , 924 , - , 2 468 , - , 2 125 , - , - , - , - , - , - , - , - , - 
061307,PULAN, 6 239 , - , 2 056 , 2 847 , 4 700 , 5 811 , 10 112 , 6 689 , 9 928 , 3 172 , 5 010 , 10 939 , 22 564 , 23 455 , 28 553 , - , - , - , - , - , - , - 
061309,SEXI, 966 , - , - , 2 531 , 2 117 , 3 919 , 3 416 , 1 919 , 4 133 , 3 979 , - , - , 10 093 , - , - , - , - , - , - , - , - , - 
061310,UTICYACU, - , - , - , - , - , - , 981 , 1 022 , 929 , - , - , - , - , - , - , - , - , - , - , - , - , - 
070101,CALLAO, 6 493 , 6 529 , 12 629 , 4 668 , 4 372 , 4 618 , 5 503 , 5 111 , 8 165 , 6 669 , 11 091 , 8 189 , 14 910 , 12 543 , 21 447 , 18 262 , 45 705 , 60 080 , - , 16 048 , 34 591 , 6 623 
070102,BELLAVISTA, 5 119 , 2 962 , 4 508 , 2 835 , 3 434 , 3 754 , 4 359 , 4 275 , 5 251 , 5 097 , 7 897 , 5 870 , 10 154 , 9 533 , 10 892 , 51 002 , 15 236 , 21 254 , 11 393 , 18 155 , 26 605 , 4 930 
070103,CARMEN DE LA LEGUA REYNOSO, 19 976 , 7 768 , 5 013 , 2 362 , 3 621 , 6 704 , 6 683 , 6 285 , 8 106 , 8 762 , 9 623 , 10 493 , 21 681 , 23 444 , 29 921 , 39 028 , 36 683 , 91 221 , - , 7 123 , - , 10 671 
070104,LA PERLA, 4 548 , 3 728 , 2 390 , 3 797 , 3 104 , 3 993 , 3 910 , 4 119 , 4 847 , 4 756 , 6 324 , 5 465 , 7 554 , 8 397 , 11 554 , 6 327 , 5 746 , 30 010 , - , 2 817 , 2 630 , 4 704 
070105,LA PUNTA, 3 584 , - , 930 , 1 067 , 2 874 , 2 991 , 6 435 , 4 282 , 5 785 , 6 411 , 7 253 , 6 981 , 10 278 , 5 089 , 12 600 , - , 8 347 , 8 001 , - , 33 171 , - , 5 041 
070106,VENTANILLA, 3 837 , 5 475 , 3 594 , 4 637 , 4 474 , 4 497 , 4 714 , 4 814 , 7 805 , 5 238 , 7 294 , 7 589 , 13 220 , 12 463 , 41 239 , 5 406 , 14 283 , 96 118 , - , 6 512 , 16 593 , 5 364 
070107,MI PERÚ, 930 , 868 , 930 , 942 , 3 180 , 3 723 , 3 066 , 3 141 , 3 586 , 4 454 , 3 593 , 1 993 , 3 549 , 930 , 4 263 , - , - , 3 000 , - , - , - , 645 
080101,CUSCO, 3 706 , 3 246 , 4 878 , 3 772 , 3 554 , 3 660 , 4 542 , 4 365 , 4 477 , 4 091 , 5 941 , 5 182 , 6 890 , 7 329 , 7 811 , 7 265 , 9 027 , 9 272 , 3 618 , 14 230 , 5 966 , 3 336 
080102,CCORCA, - , - , - , - , - , - , 930 , 930 , - , 930 , - , - , 930 , - , - , - , - , - , - , - , - , - 
080103,POROY, 1 458 , - , - , - , - , 1 943 , 3 763 , 5 551 , 3 228 , 2 877 , 3 598 , 3 440 , 3 175 , 2 460 , 4 094 , - , - , - , - , - , - , 2 788 
080104,SAN JERONIMO, 6 033 , 1 664 , 4 363 , 2 992 , 3 039 , 3 387 , 3 937 , 3 541 , 4 193 , 3 713 , 5 297 , 4 428 , 5 767 , 6 884 , 8 464 , 12 466 , 14 839 , 11 176 , 31 613 , 5 356 , 23 545 , 2 187 
080105,SAN SEBASTIAN, 4 438 , 2 142 , 2 071 , 1 815 , 3 196 , 3 248 , 3 755 , 3 437 , 3 942 , 3 604 , 4 705 , 4 099 , 5 026 , 6 831 , 6 925 , 6 823 , 5 743 , 8 652 , - , 7 423 , 460 , 3 002 
080106,SANTIAGO, 4 828 , 2 424 , 3 122 , 2 018 , 3 687 , 3 297 , 4 851 , 4 171 , 5 557 , 5 044 , 6 107 , 3 875 , 6 976 , 7 297 , 11 104 , 14 820 , 12 373 , 13 400 , 3 783 , 6 319 , 7 304 , 6 545 
080107,SAYLLA, 465 , - , - , 930 , 1 082 , 2 594 , 3 224 , 2 929 , 3 588 , 3 546 , 930 , 2 097 , 2 830 , 1 800 , 3 529 , - , - , - , - , - , - , 1 884 
080108,WANCHAQ, 4 128 , 3 565 , 3 517 , 4 182 , 4 306 , 4 444 , 4 589 , 4 246 , 4 805 , 4 241 , 5 565 , 4 962 , 6 206 , 7 863 , 8 664 , 11 668 , 9 937 , 12 233 , 11 231 , 13 958 , 33 816 , 3 497 
080201,ACOMAYO, - , - , - , - , - , - , 2 466 , 930 , 1 322 , - , 3 514 , 1 908 , 2 719 , 5 529 , 7 886 , - , - , - , - , - , - , - 
080202,ACOPIA, - , - , - , - , 2 021 , 1 023 , 3 388 , 2 733 , 2 871 , - , 4 056 , - , 919 , 2 274 , 1 248 , - , - , - , - , - , - , - 
080203,ACOS, - , - , - , - , - , 930 , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
080205,POMACANCHI, - , - , - , - , 2 225 , 1 559 , 4 745 , 2 002 , 6 335 , 749 , 7 022 , 2 499 , 2 297 , 2 168 , 5 497 , - , - , - , - , - , - , 2 968 
080207,SANGARARA, - , - , - , - , - , - , - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - 
080301,ANTA, 4 359 , - , - , 750 , 2 568 , 2 786 , 3 015 , 3 283 , 4 071 , 3 231 , 6 560 , 4 445 , 7 298 , 5 930 , 8 984 , - , - , 4 397 , - , - , - , 2 179 
080302,ANCAHUASI, - , - , - , - , - , - , 1 023 , - , - , - , - , - , 1 000 , - , - , - , - , - , - , - , - , 930 
080303,CACHIMAYO, 4 571 , - , - , - , 2 701 , 4 770 , 4 589 , 3 760 , 6 015 , 3 104 , 7 928 , 6 815 , 8 662 , 10 332 , 11 068 , 10 510 , 12 050 , 4 212 , - , - , - , - 
080304,CHINCHAYPUJIO, - , - , - , - , - , - , 870 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
080305,HUAROCONDO, - , - , - , - , - , - , 930 , - , - , 930 , - , - , 2 757 , - , 2 244 , - , - , - , - , - , - , 930 
080306,LIMATAMBO, 2 567 , - , - , 1 967 , 3 523 , 2 281 , 3 296 , 2 043 , 4 939 , 1 235 , 5 588 , 2 946 , 2 716 , - , 1 445 , - , - , 1 804 , - , - , - , - 
080307,MOLLEPATA, - , - , - , - , 465 , - , 5 929 , 2 889 , 2 288 , - , - , 941 , - , - , 2 807 , - , - , - , - , - , - , - 
080308,PUCYURA, - , 930 , - , - , - , 1 860 , 2 366 , 2 821 , 3 088 , 2 831 , 1 764 , 1 006 , 2 471 , 7 320 , 5 524 , - , - , - , - , - , - , - 
080309,ZURITE, - , - , - , - , - , - , - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
080401,CALCA, 1 868 , - , 1 554 , - , 2 360 , 1 926 , 3 363 , 3 215 , 5 019 , 3 085 , 4 298 , 4 871 , 5 328 , 7 824 , 15 530 , 3 566 , - , - , - , 930 , - , 2 826 
080402,COYA, 577 , - , - , - , - , - , 930 , - , 2 023 , 4 023 , 2 509 , 1 133 , 1 500 , 1 165 , 1 930 , - , - , - , - , - , - , - 
080403,LAMAY, - , - , - , - , - , 1 500 , 3 100 , 605 , 3 353 , 3 823 , 5 023 , 1 420 , 4 173 , 1 700 , 1 603 , 6 209 , - , - , - , - , - , 1 860 
080404,LARES, - , 930 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
080405,PISAC, 930 , 2 804 , 1 306 , 930 , 2 057 , 1 192 , 4 573 , 2 669 , 4 622 , 3 817 , 6 665 , 3 381 , 4 665 , 6 189 , 4 822 , - , - , 1 170 , - , - , - , 1 530 
080406,SAN SALVADOR, - , - , - , - , 2 130 , - , 1 992 , - , 930 , 2 006 , 1 362 , - , 4 875 , - , 3 135 , - , - , - , - , - , - , 930 
080407,TARAY, - , - , - , - , - , - , 3 212 , 930 , 5 605 , 894 , 1 716 , 2 536 , 2 621 , 930 , 1 922 , - , - , - , - , - , - , 465 
080408,YANATILE, 930 , - , - , - , 930 , - , 3 946 , 2 841 , 3 494 , - , 4 665 , 3 170 , 3 758 , 2 975 , 4 206 , - , - , - , - , - , - , 930 
